district.state,district.number,district code
Louisiana,6,LA6
Maine,1,ME1
Maine,2,ME2
Maryland,1,MD1
Maryland,2,MD2
Maryland,3,MD3
Maryland,4,MD4
Maryland,5,MD5
Maryland,6,MD6
Maryland,7,MD7
Maryland,8,MD8
Massachusetts,1,MA1
Massachusetts,2,MA2
Massachusetts,3,MA3
Massachusetts,4,MA4
Massachusetts,5,MA5
Massachusetts,6,MA6
Massachusetts,7,MA7
Massachusetts,8,MA8
Massachusetts,9,MA9
Michigan,1,MI1
Michigan,2,MI2
Michigan,3,MI3
Michigan,4,MI4
Michigan,5,MI5
Michigan,6,MI6
Michigan,7,MI7
Michigan,8,MI8
Michigan,9,MI9
Michigan,10,MI10
Michigan,11,MI11
Michigan,12,MI12
Michigan,13,MI13
Michigan,14,MI14
Minnesota,1,MN1
Minnesota,2,MN2
Minnesota,3,MN3
Minnesota,4,MN4
Minnesota,5,MN5
Minnesota,6,MN6
Minnesota,7,MN7
Minnesota,8,MN8
Mississippi,1,MS1
Mississippi,2,MS2
Mississippi,3,MS3
Mississippi,4,MS4
Missouri,1,MO1
Missouri,2,MO2
Missouri,3,MO3
Missouri,4,MO4
Missouri,5,MO5
Missouri,6,MO6
Missouri,7,MO7
Missouri,8,MO8
Montana,0,MT0
Nebraska,1,NE1
Nebraska,2,NE2
Nebraska,3,NE3
Nevada,1,NV1
Nevada,2,NV2
Nevada,3,NV3
Nevada,4,NV4
New Hampshire,1,NH1
New Hampshire,2,NH2
New Jersey,1,NJ1
New Jersey,2,NJ2
New Jersey,3,NJ3
New Jersey,4,NJ4
New Jersey,5,NJ5
Oklahoma,1,OK1
Oklahoma,2,OK2
Oklahoma,3,OK3
Oklahoma,4,OK4
Oklahoma,5,OK5
Oregon,1,OR1
Oregon,2,OR2
Oregon,3,OR3
Oregon,4,OR4
Oregon,5,OR5
Pennsylvania,1,PA1
Pennsylvania,2,PA2
Pennsylvania,3,PA3
Pennsylvania,4,PA4
Pennsylvania,5,PA5
Pennsylvania,6,PA6
Pennsylvania,7,PA7
Pennsylvania,8,PA8
Pennsylvania,9,PA9
Pennsylvania,10,PA10
Pennsylvania,11,PA11
Pennsylvania,12,PA12
Pennsylvania,13,PA13
Pennsylvania,14,PA14
Pennsylvania,15,PA15
Pennsylvania,16,PA16
Pennsylvania,17,PA17
Pennsylvania,18,PA18
Rhode Island,1,RI1
Rhode Island,2,RI2
South Carolina,1,SC1
South Carolina,2,SC2
South Carolina,3,SC3
South Carolina,4,SC4
South Carolina,5,SC5
South Carolina,6,SC6
South Carolina,7,SC7
South Dakota,0,SD0
Tennessee,1,TN1
Tennessee,2,TN2
Tennessee,3,TN3
Tennessee,4,TN4
Tennessee,5,TN5
Tennessee,6,TN6
Tennessee,7,TN7
Tennessee,8,TN8
Tennessee,9,TN9
Texas,1,TX1
Texas,2,TX2
Texas,3,TX3
Texas,4,TX4
Texas,5,TX5
Texas,6,TX6
Texas,7,TX7
Texas,8,TX8
Texas,9,TX9
Texas,10,TX10
Texas,11,TX11
Texas,12,TX12
Texas,13,TX13
Texas,14,TX14
Texas,15,TX15
Texas,16,TX16
Texas,17,TX17
Texas,18,TX18
Texas,19,TX19
Texas,20,TX20
Texas,21,TX21
New York,9,NY9
New York,10,NY10
New York,11,NY11
New York,12,NY12
New York,17,NY17
New York,18,NY18
New York,19,NY19
New York,20,NY20
New York,13,NY13
New York,14,NY14
North Carolina,2,NC2
North Carolina,3,NC3
North Carolina,4,NC4
Alabama,3,AL3
Alabama,4,AL4
Alabama,5,AL5
Alabama,6,AL6
Alabama,7,AL7
Arizona,1,AZ1
Arizona,2,AZ2
Arizona,3,AZ3
Arizona,4,AZ4
Arizona,5,AZ5
Arizona,6,AZ6
Arizona,7,AZ7
Arizona,8,AZ8
Arizona,9,AZ9
Arkansas,1,AR1
Arkansas,2,AR2
Arkansas,3,AR3
Arkansas,4,AR4
California,1,CA1
California,2,CA2
California,3,CA3
California,4,CA4
California,5,CA5
California,6,CA6
California,7,CA7
California,8,CA8
California,9,CA9
California,10,CA10
California,11,CA11
California,12,CA12
California,13,CA13
California,14,CA14
California,15,CA15
California,16,CA16
California,17,CA17
California,18,CA18
California,19,CA19
California,20,CA20
California,21,CA21
California,22,CA22
California,23,CA23
California,24,CA24
California,25,CA25
California,26,CA26
California,27,CA27
California,28,CA28
California,29,CA29
California,30,CA30
California,31,CA31
California,32,CA32
California,33,CA33
California,34,CA34
California,35,CA35
California,36,CA36
California,37,CA37
California,38,CA38
California,39,CA39
California,40,CA40
California,41,CA41
California,42,CA42
California,43,CA43
California,44,CA44
California,45,CA45
California,46,CA46
California,47,CA47
California,48,CA48
California,49,CA49
California,50,CA50
California,51,CA51
California,52,CA52
California,53,CA53
Colorado,1,CO1
Colorado,2,CO2
Colorado,3,CO3
Colorado,4,CO4
Colorado,5,CO5
Colorado,6,CO6
Colorado,7,CO7
Connecticut,1,CT1
Connecticut,2,CT2
Connecticut,3,CT3
Connecticut,4,CT4
Connecticut,5,CT5
Delaware,0,DE0
Florida,1,FL1
Florida,2,FL2
Florida,3,FL3
Florida,4,FL4
Florida,5,FL5
Florida,6,FL6
Florida,7,FL7
Florida,8,FL8
Florida,9,FL9
Florida,10,FL10
Florida,11,FL11
Florida,12,FL12
Florida,13,FL13
Florida,14,FL14
Florida,15,FL15
Florida,16,FL16
Florida,17,FL17
Florida,18,FL18
Florida,19,FL19
Florida,20,FL20
Florida,21,FL21
Alabama,1,AL1
Alabama,2,AL2
Florida,22,FL22
Florida,23,FL23
Florida,24,FL24
Florida,25,FL25
Florida,26,FL26
Florida,27,FL27
Georgia,1,GA1
Georgia,2,GA2
Georgia,3,GA3
Georgia,4,GA4
Georgia,5,GA5
Georgia,6,GA6
Georgia,7,GA7
Georgia,8,GA8
Georgia,9,GA9
Georgia,10,GA10
Georgia,11,GA11
Georgia,12,GA12
Georgia,13,GA13
Georgia,14,GA14
Hawaii,1,HI1
Hawaii,2,HI2
Idaho,1,ID1
Idaho,2,ID2
Illinois,1,IL1
Illinois,2,IL2
Illinois,3,IL3
Illinois,4,IL4
Illinois,5,IL5
Illinois,6,IL6
Illinois,7,IL7
Illinois,8,IL8
Illinois,9,IL9
Illinois,10,IL10
Illinois,11,IL11
Illinois,12,IL12
Illinois,13,IL!3
Illinois,14,IL14
Illinois,15,IL15
Illinois,16,IL16
Illinois,17,IL17
Illinois,18,IL18
Indiana,1,IN1
Indiana,2,IN2
Indiana,3,IN3
Indiana,4,IN4
Indiana,5,IN5
Indiana,6,IN6
Indiana,7,IN7
Indiana,8,IN8
Indiana,9,IN9
Iowa,1,IA1
Iowa,2,IA2
Iowa,3,IA3
Iowa,4,IA4
Kansas,1,KS1
Kansas,2,KS2
Kansas,3,KS3
Kansas,4,KS4
Kentucky,1,KY1
Kentucky,2,KY2
Kentucky,3,KY3
Kentucky,4,KY4
Kentucky,5,KY5
Kentucky,6,KY6
Louisiana,1,LA1
Louisiana,2,LA2
Louisiana,3,LA3
Louisiana,4,LA4
Louisiana,5,LA5
New Jersey,6,NJ6
New Jersey,7,NJ7
New Jersey,8,NJ8
New Jersey,9,NJ9
New Jersey,10,NJ10
New Jersey,11,NJ11
New Jersey,12,NJ12
New Mexico,1,NM1
New Mexico,2,NM2
New Mexico,3,NM3
New York,1,NY1
New York,2,NY2
New York,3,NY3
New York,4,NY4
New York,5,NY5
New York,6,NY6
New York,7,NY7
New York,8,NY8
New York,21,NY21
New York,22,NY22
New York,23,NY23
New York,24,NY24
New York,25,NY25
New York,26,NY26
New York,27,NY27
North Carolina,1,NC1
North Carolina,5,NC5
North Carolina,6,NC6
North Carolina,7,NC7
North Carolina,8,NC8
North Carolina,9,NC9
North Carolina,10,NC10
North Carolina,11,NC11
North Carolina,12,NC12
North Carolina,13,NC13
North Dakota,0,ND0
Ohio,1,OH1
Ohio,2,OH2
Ohio,3,OH3
Ohio,4,OH4
Ohio,5,OH5
Ohio,6,OH6
Ohio,7,OH7
Ohio,8,OH8
Ohio,9,OH9
Ohio,10,OH10
Ohio,11,OH11
Ohio,12,OH12
Ohio,13,OH13
Ohio,14,OH14
Ohio,15,OH15
Ohio,16,OH16
Texas,22,TX22
Texas,23,TX23
Texas,24,TX24
Texas,25,TX25
Texas,26,TX26
Texas,27,TX27
Texas,28,TX28
Texas,29,TX29
Texas,30,TX30
Texas,31,TX31
Texas,32,TX32
Texas,33,TX33
Texas,34,TX34
Texas,35,TX35
Texas,36,TX36
Utah,1,UT1
Utah,2,UT2
Utah,3,UT3
Utah,4,UT4
Vermont,0,VT0
Virginia,1,VA1
Virginia,2,VA2
Virginia,3,VA3
Virginia,4,VA4
Virginia,5,VA5
Virginia,6,VA6
Virginia,7,VA7
Virginia,8,VA8
Virginia,9,VA9
Virginia,10,VA10
Virginia,11,VA11
Washington,1,WA1
Washington,2,WA2
Washington,3,WA3
Washington,4,WA4
Washington,5,WA5
Washington,6,WA6
Washington,7,WA7
Washington,8,WA8
Washington,9,WA9
Washington,10,WA10
West Virginia,1,WV1
West Virginia,2,WV2
West Virginia,3,WV3
Wisconsin,1,WI1
Wisconsin,2,WI2
Wisconsin,3,WI3
Wisconsin,4,WI4
Wisconsin,5,WI5
Wisconsin,6,WI6
Wisconsin,7,WI7
Wisconsin,8,WI8
Wyoming,0,WY0
Alaska,0,AK0
New York,15,NY15
New York,16,NY16